2018-05-03 15:50:30,424 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-05-03 15:50:30,475 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-05-03 15:50:30,679 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17312-1525330230499-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:50:30,760 | INFO  | Listening for connections at: tcp://Notebook-ssw:61626 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-05-03 15:50:31,019 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-05-03 15:50:31,245 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] started | org.apache.activemq.network.NetworkConnector | main
2018-05-03 15:50:31,247 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17312-1525330230499-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:50:31,248 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:50:32,116 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2018-05-03 15:50:32,263 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8163/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:50:32,264 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8163/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:50:32,360 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-05-03 15:50:32,595 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2018-05-03 15:50:32,805 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2018-05-03 15:53:34,846 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17312-1525330230499-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-05-03 15:53:34,863 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] stopped | org.apache.activemq.network.NetworkConnector | ActiveMQ ShutdownHook
2018-05-03 15:53:34,868 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-05-03 15:53:34,876 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2018-05-03 15:53:34,878 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-05-03 15:53:34,879 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-05-03 15:53:34,881 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-05-03 15:53:34,919 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17312-1525330230499-0:1) uptime 3 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-05-03 15:53:34,921 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17312-1525330230499-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-05-03 15:53:34,923 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:50:29 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2018-05-03 15:53:34,945 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2018-05-03 15:53:39,238 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:53:39 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-05-03 15:53:40,292 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:53:40,356 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-05-03 15:53:40,397 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-05-03 15:53:40,586 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17345-1525330420412-0:1) is starting | org.apache.activemq.broker.BrokerService | main
